,content
895,杨超越回老家吃席，粉丝们好会辣评
896,#天天兄弟 王一博#天天兄弟，对一博，到底有多双标娱圈碧螺春的微博视频
897,终于下班了不知道谁叫的外卖反正手术室餐桌上的就是公共的我饿了 残羹冷炙也是无上美味
898,#湖南省国际文化旅游节南岳开幕#【2021年湖南省国际文化旅游节本周五开幕】年度盛典，串联世界。记者昨日从南岳区获悉，由湖南省文化和旅游厅、衡阳市人民政府主办，衡阳市文旅广体局、南岳区人民政府承办的2021年湖南省国际文化旅游节将于12月10日（本周五）在南岳衡山景区开幕，诚邀各界朋友走进衡 ...全文
899,#妈妈穿高跟靴在冰地走路#这位妈妈穿了一双高跟靴子，在冰天雪地里不知道该怎么走。不过最后，她自创了一种新的走路方式~YouTube精彩视频的微博视频
900,妹妹直接光盘的「老式麻辣烫🍲」最近看黏糊糊麻辣烫很🔥！于是宅家复刻了一份~放了满满的麻酱和白糖，麻辣鲜香放了牛奶的汤底更加醇厚！可以根据自己的口味放喜欢的食物~建议一定要放方便面和豆泡~吸饱了麻酱汤汁真的很香！再配上一份#整颗冰糖烤雪梨#滋润一下，就太啦！ ...全文
901,一次，邓超提着100斤的鲶鱼去探班《芈月传》剧组，见到郑小龙导演的第一句话：你为啥总找我媳妇儿拍戏？郑小龙导演毫不客气的回怼道：我就喜欢你媳妇。把邓超当场就给气笑了，要不是相信郑小龙导演的为人，邓超想打导演的心都有。《芈月传》中男主角是陈建斌，陈建斌当初在拍摄《甄嬛传》时就公 ...全文
902,确实 大部分人的学生时代都是安安静静度过的吧
903,交换本周用的手机壁纸!!🎀
904,我有一堆大学老师朋友已经两个月没有发一分钱了上个学期每个月只发了基本工资+1600绩效不带编制的基本工资只有几百块钱带编的多一点，一两千吧以往一年可以拿到10w+今年上半年一共到手3w+基本都是211985的硕士研究生毕业说是学校欠债10e+把几千万工资拿去付利息了都这样了，居然没有一个教 ...全文
905,草，这猫长得好抽象#这猫长得好抽象#文科班校花酱的微博视频
906,碎片/：本周的快乐  属实是一蛙一麻袋
907,【20万现金+车子+房子，陈亚楠妈妈来大衣哥家里退彩礼了】陈亚楠妈妈趁着天黑来大衣哥家里退彩礼。20万现金+车钥匙+房钥匙果然是言出必行！随后亚楠妈哭着走出朱家。她委屈地说女儿净身出户只留下一堆骂名，还说女儿差点没命，求求大家别再乱说了。大衣哥不在家，大衣嫂接待陈家人，端茶倒水清 ...全文
908,姐妹们！想要微信就上啊啊啊！
909,太乖辣！！！这体型差也太适合了吧！我和宠物的日常的微博视频
910,投稿：留学期间很努力的转到了喜欢的专业，但是爸爸妈妈说没钱供我读书了让我回国。前几天知道了其实家里不是没钱，只是他们担心疫情所以骗我回来……我知道他们是为我好但我还是很难过也有点气愤，我该怎么调节自己的心境？#有钱人生活大赏#
911,#盒马昵称改不回来了#谈笑间，小编工作没了
912,6本好看的小说，一开始差点被劝退了
913,🥇🥈
914,「今日分享」绝美玫瑰壁纸套图💐
915,被伊能静圈粉了，在《点赞！达人秀》里，邓紫棋被一位达人邀请上台配合完成一个平衡术的表演，当邓紫棋坐上那张只有一条椅子腿立柱的椅子时，立刻吓得惊声尖叫起来，并且连忙恳求台下几位嘉宾，你们谁上来代替我一下？谢霆锋和孟非可能以为邓紫棋是为了节目效果，所以只顾着哈哈大笑。这时候，伊能静连 ...全文
916,#原来温柔真的可以被延续#爷爷一定是个温柔又浪漫的人吧#情感暖冬行动#
917,推热转：每天两瓶烧酒的结果
918,不看不知道，一看才知道“播出即胜利”的意义在哪里！你以为男演员积压3-4部剧算多的吗？其实不然！只因积压最多的已经有8部之多。而这位男演员就是张翰。除了待开机以及拍摄中的，这8部剧中已经拿到播出许可证的其实已经有6部。然而，即便有证也无缘播出，便是张翰面临的现状。其中《华丽上班 ...全文
919,搞笑片变成惊悚片。奇贱姐的微博视频
920,朋友圈人气暴涨精彩的沙雕文案1.我太爱掉头发了，我感觉上辈子就是个蒲公英。2.刚有人问我，你天天减肥有没有瘦？真是搞笑，你还天天上班呢，有没有存款！3.每天这个时候我都不敢发朋友圈，因为你们没吃早餐应该都挺饿的，突然看到我这么甜的小孩，我怕被人吃了。4.有人说我穷了， ...全文
921,#反贪风暴5新预告#反贪风暴5最终章来啦，看预告真的期待值拉满，紧张的氛围，各种正邪交锋的大场面，还有各种反转太燃了！期待上映！星娱酱的微博视频
922,苏有朋 ，林心如 20年前同框画面流出、两人合作过多部经典影视剧，俩人是最好的朋友，不禁感叹年轻真好啊！满满都是回忆！娱乐小蕾的微博视频
923,两周年
924,
925,伤心的小男孩的一天…苏州张若宇的微博视频
926,我娶了一个富婆当老婆，结婚那年她才25岁，陪嫁了250万，还买了套别墅、一辆宾利给我，然而结婚2年实在受不就离婚了。我跟我老婆是在生意场上认识的，我大学毕业出来再一家公司做销售，每天的工作就忙着跟客户谈生意。那天公司接到了一个上千万的订单，需要出去谈合同，在一家星级酒店，定了一个豪 ...全文
927,今天和大家一起瞎看的是，当年完全看不懂，现在看完一身冷汗——【童年回忆录】之哈哈镜花缘(1-2集)#金牌解说#肾肾瞎看的微博视频
928,陈亚楠的父母也开始直播啦！陈亚楠昨天直播5万多人在线，礼物刷不停，大赚特赚！陈亚楠爸妈也开始直播啦，一家三口过去没人知道，现在在大衣哥的流量加持下，早已是千万富翁，赚的盆满钵满！所以还回去的车子，房子，金子，票子不值一提，真正的赚钱之路才刚刚开始！他们一家真的要好好的感谢大衣 ...全文
929,【发生了何事？#女子将3岁孩子交给保姆后失联#】重庆的丁大姐是一名持证育婴师，在给小区一位住户带孩子，今年6月，孩子母亲突然说要去外地工作，希望把孩子寄养在丁大姐家。丁大姐和孩子相处半年有了感情，就同意了。可从11月中旬开始，丁大姐就再也联系不上孩子妈妈，孩子爸爸的电话也一直关机。  ...全文
930,【#武威市2022年十件民生实事出炉#一起来看】民生连着民心，民心凝聚民力！2022年武威市要办好10件为民实事：1. 城镇新增就业1.5万人。2. 整治背街小巷28条，打通“断头路”9条。3. 改造老旧小区193个1.27万户，建成智慧安防小区300个。4. 实施农村土坯住房抗震改造1万户以上。5. 建设“四 ...全文
931,【#12月7日新增确诊病例74例#，#31省区市新增本土确诊44例#】12月7日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例74例。其中境外输入病例30例（上海8例，广西8例，福建3例，广东3例，四川3例，云南3例，天津1例，陕西1例），含4例由无症状感染者转为确诊病例（四川3例，广西1 ...全文
932,想问尖锐一点：凭良心讲是你会不会还？
933,INTO1🌐#和北京冬奥一起向未来#少年以热情拥抱冬奥，共赴2022冰雪之约！来和少年们共同唱响冬奥，为北京冬奥助力，为奥运健儿喝彩，一起向未来❤️🔥#全民唱响一起向未来##乐享冬奥#INTO1官博的微博视频
934,#ITZY#ITZY《LOCO+Mafia In The Morning》2021AAA颁奖典礼舞台日韩新歌速递的微博视频
935,【#孙海洋回应养母说孙卓是弃养#：真的是笑话】12月9日，山东聊城。在孙海洋找到孙卓之后，有媒体采访孙卓“养母”，其称孙卓是离异家庭弃养。对此孙海洋回应，有人冒着枪毙的危险把孩子偷到山东，还说是弃养，简直是笑话。@红星新闻红星视频的微博视频
936,#被我们的歌整破防了#今晚的《我们的歌》终极音乐盛典落下帷幕，十位歌手唱响经典，再次带来他们对“我们的歌”的理解。五组嘉宾歌手在这一季的舞台中为我们带来了太多精彩的经典改编，而在最后，@大张伟和@汪苏泷也在为大家带来了那么多快乐与创新的舞台后带来了第一首送给他们自己的歌《大娱乐家 ...全文
937,【#山西有群志愿者总盯着独居老人的窗帘#网友：建议推广！】老人家的窗帘若被拉开，他们便放心了；若未拉开，他们就立即前往查看……在山西太原，每天清晨，都会有这样一群志愿者穿梭在多个社区中。他们与16位独居老人立下“窗帘之约”，每日巡查，予以关爱。他们还会陪老人唠嗑解闷，帮忙理发、 ...全文
938,【一锤子下去，“美式民主”的真面目……】美国总统拜登近日公布，将于12月9日至10日举行首届“民主峰会”。算盘打得叮当响，只可惜近些年来美国在民主问题上的“双标”表现，早已经让人看清了“美式民主”的真面目。所谓的“美式民主”，实质上是打着“民主”的旗号拉帮结派，强行推行自己的模式，维 ...全文
939,【#男子按摩后爬出洗浴中心逃单#，店家：没钱明说，哪怕撒个谎呢】#洗浴中心回应男子按摩后爬走逃单#12月7日，安徽滁州。一个男子洗澡、按摩、过夜后为逃单，趁营业员睡着，手脚并用爬着跑出洗浴中心。该洗浴中心负责人李先生表示，没钱哪怕撒个谎呢，这种行为太丢人了，希望各个商家注意。目前，该洗 ...全文
940,乘客下车，一顿痛打，痛快淋漓。【#男子嫌牛腩粉肉少别停大客车被刑拘#】近日，京港澳高速湘潭段，一辆小车反复左摇右摆多次挡住大客车不让其超车，持续了约10分钟，硬生生把一辆大客车“逼停”。大客车满载着47名司乘人员，一旦发生事故后果不堪设想。停车后，双方不顾危险在快车道上发生争执。 ...全文
941,这种抓拍感好棒啊 好好看
942,迪丽热巴好可爱好可爱好可爱啊[开学季]
943,【最新！#北京中考体育新增乒乓球#，供学生挑选】今天，北京发布义务教育体育与健康考核评价方案，明确：①#北京中考体育过程性考核占40分#，包括学生体质健康考核（含体重指数、肺活量、50米跑、1分钟跳绳等）、体育与健康知识考核；②现场考试30分，包括4类22项考试内容，其中新增乒乓球、体操、武术 ...全文
944,#令人心动的offer#医学生辩论→该不该提倡妇产科医生女性化热剧抢先看的微博视频
945,#包头市各中小学师生扫雪除冰在行动#12月7日晚，今冬的雪又悄然而至，漫天飞舞的雪花，描绘出了一个令人陶醉的北洋冰雪世界。持续性降雪和气温骤降，也让校园内道路出现大规模不同程度的积雪结冰现象，给师生员工的出行安全带来严重隐患。针对此种情况，我市各中小学师生迅速响应，领导干部、教职员工 ...全文
946,【#花56元就能免费开网店#在家躺着当老板 是真的吗？】#网店一条龙服务是新型诈骗#近日，湖北武汉警方破获了一起新型网络诈骗案件。浙江一男子在浏览视频时刷到了一条广告，上面承诺只需交56元钱，就可以提供开设网店、运营等一条龙服务。在对方诱骗下，男子一步步加大投资，损失了7万4千多元钱。详 ...全文
947,#台剧#《#华灯初上#》头巾这一段真的绝了！#林心如#真的美爆了！而且这一段还是林心如自己设计的桥段，真的很美呀！你有被撩到没？#新剧资讯#台剧资讯台的微博视频
948,NBC认为此次普拜会谈对拜登很重要，特别是外交政策方面，但普京在和拜登视频之前和俄罗斯官员开会时说 “今天请长话短说，因为一小时我有个后礼节性活动”。#Lisa👀俄语#
949,#还有谁没听过宋祖儿唱歌#上帝到底给宋祖儿关了哪扇门怎么长得漂亮演技好唱歌也这么好#2021微博混剪大赛##2021最佳人物#我的追星大号的微博视频
950,#阿詹元気蓄力Note#Week13 ✍️忙忙碌碌的一周算是熬过去了（考试周来了……）
951,笑着笑着就哭了，发质不如狗
952,你欠某个人的 会有另一个人要回去某个人欠你的 会有另一个人还给你你对某个人做的事 不管是伤害还是付出总会有另一个人报答或者报复在不同时间的节点 人生的无情与多情 绝情与滥情总体来说 是守衡的
953,@何陌止一个中元节写的小故事（鬼压床）“求求你了快点睡吧～”缩在卧室门后面阴影里的小鬼心里默念着，还给自己打了个气，做了个人类加油的动作，“第一次出来一定，一定要完成任务！”上元节这天，小鬼被派来人间庆祝鬼节，他们这次的任务就是“鬼压床”，听说是因此会染上人间的阳气为地 ...全文
954,mi——ku——
955,完了，又秃了一个😂邓峰萌萌摔肿了-的微博视频
956,#符建涛认出拐卖孙卓的人贩子#被拐儿童符建涛认出拐卖孙卓的人贩子，向专案组提供线索沙雕信箱的微博视频
957,#内容过于真实#每个讨好型人格都想有这样一个人出现…笑笑段子一箩筐的微博视频
958,想吃饺子，多煮会，快烂的那种
959,缤纷自贸港，欢乐旅游岛！海南的明星朋友们送祝福来啦，2021年（第二十二届）海南国际旅游岛欢乐节12月10日在海口盛大开幕，诚邀您欢乐一起来~#2021海南欢乐节##休假来海南#海南省旅游和文化广电体育厅的微博视频
960,#呼伦贝尔一萌娃向抗疫人员敬礼#近日，内蒙古满洲里萌娃的敬礼火了起来据说和民警“大白”有关？近日，在满洲里的小区里一个小萌娃给警察“大白”敬了个礼瞬间融化警察也回敬一个礼。
961,【#国台办说绿色恐怖可以休矣#】近日，台陆委会两次放话，禁止台湾有关人员参加并恐吓台湾同胞参与海峡论坛。马晓光表示，台湾陆委会针对台湾各界参与海峡论坛，公然发出威胁恐吓，已经不是第一次。#马晓光奉劝民进党当局#，在两岸各界加强交流合作的时代潮流面前，他们色厉内荏的“绿色恐怖”可以休矣 ...全文
962,#衣袖红镶边收视率为何能逆袭#当然是甜甜的爱情了啊影视吐槽君的微博视频
963,【#宁波疫情与绍兴杭州无本地关联##浙江3例首发病例均为主动检测排查发现#】7日，浙江省在杭州举行疫情防控新闻发布会通报，截至7日21时，浙江三起疫情共报告18例阳性。发布会介绍，三起疫情首发病例均为在主动检测和排查当中发现，宁波镇海的首发病例在解除居家健康观察前的末次核酸检测中发现，绍兴 ...全文
964,#张慧雯情绪递进式告别#@张慧雯wen在《一片冰心在玉壶》里饰演女捕快莫研，在告别时情绪掌握得太到位了。不管是隐忍、嘴硬，还是撒娇、不舍，都被张慧雯用层层递进的情绪演绎了出来，令人代入感极强。#明星剧好玩#张慧雯工作室wen的微博视频
965,泰熙心疼到发抖#蓝色生死恋##宋慧乔##宋承宪##韩剧##金牌混剪#剪影剧的微博视频
966,向佐大型吃醋现场。《女儿们的恋爱》向佐郭碧婷一起吃饭，谈到初恋的话题，郭碧婷没有回避坦然聊起来，没想到向佐真的吃醋了！真爱大概都会这样哈哈#金牌混剪##向佐##女儿们的恋爱#爆笑源泉的微博视频
967,#天津中小学新增一门必修课#近日，天津市教委制定《关于推进天津市中小学校劳动教育的方案》，中小学生劳动时间表路线图确定。此外，《天津市中小学生家庭劳动正面清单》和《天津市中小学生家庭劳动负面清单》也相继发布，鼓励孩子在家不当“甩手掌柜”。具体内容如下…天津中小学新增一门必修课...全文
968,雖然是誤會，但是路人的警惕和熱心行為值得表揚！【#小孩哭着找妈妈路人拦住抱娃男女#，民警：误会，是孩子爸爸和保姆】12月6日，天津。武清一热心男子路遇一对抱娃男女，因孩子哭着找妈妈，怀疑是人贩子，遂上前拦住并打电话报警。7日，天津市公安局武清分局南楼派出所民 ...全文
969,惊心动魄的猫猫障碍挑战赛，最后竟然还掌握了时空回溯的能力英国报姐的微博视频
970,孙海洋回应没有感谢符建涛：急着带他见爷爷奶奶，急着送他回来读书，寻找14年，他只在我身边待了两天两夜#妈妈见到被拐14年儿子的反应#Weiniyuki的微博视频
971,在摩天大楼，渴求自由。
972,#如果表白也有不同情绪#那就用最真诚的一种吧
973,重生+替身梗文/@何尽欢的写文记录美人对渣男一见钟情，而渣男有时候对他很好，有时候又根本不放在心上，但他还是渐渐沉沦了。直到渣男的白月光回来，他才发现原来自己是白月光的替身。后来又是一系列虐身虐心，美人终于受不了决定死遁，没想到计划出了意外，他真的死了。然后他发现自己回到 ...全文
974,【#神十二太空摄影师作品#：#神舟十二号珍藏版地球写真集#太美了！】7日，中国航天员科研训练中心在北京航天城举行神舟十二号航天员乘组与记者见面会，神舟十二号乘组三名航天员带来之前在轨拍摄照片，一起和“太空摄影师”领略壮美地球↓↓（人民日报记者刘诗瑶 余建斌）网页链接
975,#他不会是有偶像包袱吧#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈他可能有偶像包袱吧我是小糗君的微博视频
976,#非人哉#谢谢哮天！
977,冬日的温暖
978,十倍速接近你的人也会十倍速的离开。
979,【#清远执行和解促90万赔偿款一次付清#】“我终于放下了压在心头的石头，感谢法院为我儿子追回这笔赔偿款。”近日，清远连州 市人民 法 院成功化解一起交通事故纠纷案件，为申请执行人一次性追回赔偿款90万元。申请执行人兰某父亲几度哽咽地说：“没想到在我有生之年还能帮我儿子领取这笔款项。” ...全文
980,一夜之间，我的城市#上虞#生病了，所有的一切都按下了暂停键，但我们相信！疫情终将过去，太阳也会重新升起。上虞！加油！#疫情#（by：诗画曹娥江）青春绍兴的微博视频
981,1999年6月，面对北约F-15和F-16战机群在家门口的肆意轰炸。南斯拉夫联盟空军司令维利科维奇中将亲自驾驶一架米格-29战斗机，明知获胜无望的情况下依然升空迎敌。并义无反顾地冲向北约战机群……米格-29战斗机于1977年10月服役，该战机行动敏捷，机身长有17米，翼展有11米，最大的飞行速度可达到2800 ...全文
982,醉眼看人间 个个都温柔杭州
983,【宝坻区通报这些问题和典型案例】关于五起群众身边不正之风和腐败问题的通报：为进一步深化群众身边不正之风和腐败问题整治，强化通报曝光、警示震慑，现将5起典型问题通报如下↓1. 大钟庄镇宝芝麻窝村原党总支书记、村委会主任张建忠坐收坐支村集体资金问题。2020年1月，大钟庄镇宝芝麻窝村重新发 ...全文
984,#广州某小区物业让交警拖车反被怼#广州某小区保安阻拦业主将车辆停放在小区地下车库，导致车辆被迫通宵停在小区门口......这家物业公司，叫做碧桂园@碧桂园@碧桂园在广清碧桂园物业要求必须要购买或是租赁车位才能进出，换言之，拒绝业主车辆临时停车。事发当晚小区物业打电话报警让交警到现场整 ...全文
985,【细节都充满爱！#大庆市首个农村支付适老示范网点来了#】日前，记者从林甸县获悉，为积极践行“支付为民”理念，扎实推进“我为群众办实事”实践活动，全市首个“农村支付适老示范网点”在林甸农商银行创造支行正式亮相。（文明大庆）
986,【#危重患者来渝就医重庆铁骑齐力开道#这身影太帅了！】12月6日，重庆沙坪坝警方接到了一个特殊的求助，求助人从贵州开车送一位急救病人前往西南医院，但不熟悉路，又怕堵车。两名骁骑队员一路开警笛，亮警灯，打开绿色通道，仅用8分钟就将病人送达。家属表示，重庆的温暖让他难以忘怀！  ...全文
987,张颂文大赞姜潮表演过渡超自然，章子怡被一个细节打动了！#私藏影单##娱乐综艺#明星社长的微博视频
988,张雨绮和李柄熹这段热舞，简直太迷人，鬼知道我刷了多少遍#私藏影单##娱乐综艺#明星社长的微博视频
989,#宋亚轩##苏新皓##视频藏宝阁#宋亚轩、苏新皓人类幼崽成长记按在地上搓澡，拿碗扣着剪头发你们的童年真的是多姿多彩内娱追综少女的微博视频
990,这个发量太让人羡慕了！！！
991,推文单推绿茶🍵男主《我那夫君，柔弱不能自理》作者：杯雪📍剧透：无敌尊上与乔家小家主，SC，男主绿茶属性，人前人后两幅面孔。女主是乔家的小家主，乔家渐渐没落，女主承担起了振兴家族的重任，要找回自己的天赋，还要变得更强。男主是尊上，他的实力深不可测，他无聊下山历练 ...全文
992,不过我认识一个很极端的例子！我婆婆朋友的女儿，36岁的时候还没结婚，人长得非常漂亮，又聪明，眼光特别高，大部分男人她都看不上，就想找个好的。37岁的时候如愿结婚，找了个很好的家庭。公婆特别有钱，家里好几个加油站，年入千八百万很轻松，手里还有地，租给工厂单单租金又是几百万。老两口就一 ...全文
993,“ 一日之计在于晨 ”
994,#做X光的小猫咪有多萌#哈哈哈哈哈哈哈哈哈哈哈哈哈抻成小猫条了
995,“四个人里面三个中国红 确实感到非常自豪啊”就是说谁爽了 我爽了#WTT颁奖##樊振东夺得WTT世界杯决赛冠军##孙颖莎夺冠世界杯#橘子娱乐的微博视频
996,这个时候，当我上场伴随了满场的欢呼。DJ:Neezy鼓手：Sky Ocean摄影老师：@Magor志玛妆发老师：Abby造型老师：@YukiYaYaYang#国潮音乐节#感谢！
997,领导讲话时给领导拍的照片哈哈哈哈哈哈
998,“脑子里总是突然浮现出一个念头，突然觉得我好像以后和谁生活在一起都一样，和谁在一起都可以，我好像都能接受，就根本没有特定的一个人，说必须是他不是他不行的这种，我也不知道这种想法是该庆幸还是难过。在没遇到喜欢的人的时候，我大概每天嘴巴上嚷嚷着我想谈恋爱我要找对象，但又感觉身边的爱 ...全文
999,陈伟霆一看到要跳的舞姿后，一脸嫌弃，和李易峰穿上衣服后傻傻分不清！哈哈哈哈，没想到李易峰是舞蹈担当啊圈内妹妹的微博视频
1000,张继科骂人Vs马龙骂人VS许昕骂人🤬😂😂
1001,一只金毛卡在楼梯间的护栏上，最后不得不叫消防队员过来帮它解围，毛孩子看到消防员叔叔在救它可开心了#萌宠年度回忆##铲屎官的乐趣#一个鉴赏官的微博视频
1002,#小猫咪能有什么心事#下班回家路上碰到一只小猫
1003,#校园广播站放过最有青春感的歌#我个人印象中应该是那首同桌的你。初三那会儿刚好流行随身听，午休和同桌一起把头低在课桌下面，耳机藏在袖子里，拉出天线搜音乐，听到走廊有脚步声，就赶紧用手捂着耳朵闭上眼睛假装睡着。下午的课总是漫长又枯燥，最期待的就是下午放学，因为学校广播站每天都会 ...全文
1004,【来自投稿】60年代 加拿大渥太华 一名男孩向工作人员描述他丢失的小狗的特征
1005,#法式甜点#A神的大章鱼和巧克力灯塔刊有为的微博视频
1006,@我们的街拍时刻女士街拍  第五百二十三期 和煦冬日 主题袁冰妍@袁冰妍的街拍look。柔软触感的针织背心，融暖与层次美，冬日里的小童趣或许就在衣服上的可爱图案，或是牛仔裤上带着叛逆的“补丁”，本周的穿搭灵感你从袁冰妍的演绎中get了吗～【出品人：@李晖616，摄影： ...全文
1007,…………到底多大了
1008,哈哈哈思绪万千之后小仙女还是笑了
1009,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈都没有偏心，不过最后一个“咻”得明显有些吃力了#对宝宝和狗狗不偏心的宝妈#人间奇趣记录仪的微博视频
1010,“Mummy 有你啊，傻傻的” 🥰@杨雁雁YannYann#孙燕姿世界终结前一天MV##打卡星能量#
1011,投稿：“你只管往前走，老天爷会给你翻案的”
1012,xhs上有博主说品牌疑似抄袭他简历里的创意，随后品牌回应🈶️
1013,老维斯塔潘对44的评价#F1#
1014,考研压力大的时候，做什么奇怪的事都不觉得奇怪#为了考研做过哪些迷惑行为#
1015,每日一笑😂 爆笑视频 万恶之源#搞笑视频##搞笑幽默#爱逗的小哥哥的微博视频
1016,#谁是凶手#你爸爸的失踪绝不是那么简单，你知道多少？@赵丽颖
1017,真是看的要哭出来了，让我重新相信了爱情
1018,#美甲#我一定要一个个做过来
1019,#太原一小区电动车起火#【太原万达天玺小区电动车突然起火，万幸停放在车棚...】昨天下午，在万达天玺小区的存车棚内，突然冒出了滚滚黑烟，一辆电动车突然起火自燃，并殃及到了旁边的几辆电动车。详情戳下图哦
1020,【#贵州一野猪冲进服装店被民警制服#引群众围观】12月8日，贵州毕节，赫章县一只野猪冲入服装店，野猪藏匿在服装店内不敢出来，吸引群众驻足围观，现场视频显示有多名警察到场处理，最终野猪被几名民警抬出，危险状态解除。目击者称没有人员受伤，服装店也没有财物损失。#宝藏蓝v激励计划#...全文
1021,#河南一女生遭多人欺凌#孩子遇到校园霸凌，家长应该怎么做，怎么才能从根本上解决孩子被欺负问题？善良小魔女-YZ的微博视频
1022,【#小孩哭着找妈妈路人拦住抱娃男女#，民警：误会，是孩子爸爸和保姆】12月6日，天津。武清一热心男子路遇一对抱娃男女，因孩子哭着找妈妈，怀疑是人贩子，遂上前拦住并打电话报警。7日，天津市公安局武清分局南楼派出所民警表示，系误会，抱娃男子是孩子爸爸，女子是保姆。@西部决策...全文
1023,感觉房车布置的好温馨呀逗趣戏精的微博视频
1024,#领克09和理想ONE谁的空间大#如果09和理想ONE都150平米三居的话，09的公摊面积比ONE大。能理解吧？
1025,#长春吃烧烤的必备暗号#一方饮食养一方人文，想要深入了解一个地方的人文发展，那么从饮食文化切入是最直观的方式。在长春，烧烤是饮食文化的一个分支体现，吃烧烤不像其他地方一样找到一家店就开吃，而是要事先问店家还有火没，“有火”是长春人都懂的烧烤暗号，只有对上了暗号的人才能在长春拥有撸 ...全文
1026,#jessi##徐仁英#jessi和徐仁英的相处方式可以说是疯姐姐们的battle了，互不相让！！思密达的团团饭的微博视频
1027,名侦探学院快乐老家南波万.恋齐日记的微博视频
1028,#德国总理默克尔正式卸任#【#默克尔菱形#是如何成为招牌动作的】当地时间12月8日将正式卸任德国总理的默克尔有一个自己独具特色手势，人称“默克尔菱形”——双手放在腹前，手指指尖相对，组成钻石形状——这个手势在维基百科上有其主页，有它自己的表情符号“<>”，而且这位长期担任德国总理的领导人 ...全文
1029,#有被茅台文学笑到#这届网友太好笑了，当初大家退出文坛我早就说过不同意[开学季]迷惑大学生鉴赏的微博视频
1030,你们还记得这个姐妹不？后续发展我是真没想到。。
1031,一个苹果的画法画师：布朗尼#南号尚风##二次元条漫#
1032,#谁是凶手#你说当年没敢开那一枪，背后到底有什么隐情？@肖央
1033,精品也许会迟到，但绝不会缺席真相只有一个，那就是不虚此行2021已接近尾声，哥哥的热潮似乎也已经渐渐退去。但看到这个片子，又把我重新拉回了那个炎热，焦灼，挑战与情感迸发的夏天。感恩能有此幸运通过这个节目认识了你们，更发现了一个更饱满的自己。时间会证明一切待续～（感谢全程拍摄及剪 ...全文
1034,“努力想得到什么东西，其实只要沉着镇静、实事求是，就可以轻易地、神不知鬼不觉地达到目的。而如果过于使劲，闹得太凶，太幼稚，太没有经验，就哭啊，抓啊，拉啊，像一个小孩扯桌布，结果却是一无所获。只不过把桌上的好东西都扯到地上，永远也得不到了。”
1035,谢谢，确实让我很解压#看别人玩解压玩具有多解压#装逼翻车现场的微博视频
1036,转角遇到爱[开学季][开学季]
1037,有哪些你可以循环到死的歌推 荐？歌荒码 住~[开学季]
1038,#2021我想对你说#要快乐还有明儿周三，你们懂的#电视剧女心理师#👀
1039,#散装烤全羊#前几天看纪录片被各式各样的烤羊肉馋到不行，于是就在一个阳光明媚的下午，我果断买了一整只羊，和小伙伴们支起摊子来了个散装烤全羊，来瞅瞅一整只羊能烤多少串吧~#理想生活季#曼食慢语@鲜城Amanda的小厨房的微博视频
1040,真正地放下一个人是种怎样的体验？很久以前，我想过很多次以后的情景，我想过有一天我终于放弃你时候的样子。我以为我会在某个晴朗的早晨，醒过来的刹那发现我不再爱你了，然后开始我的新生活。然而我发现我错了。其实是我开始了新生活之后，在潜移默化里，会在某一个平凡的时刻里，我乍 ...全文
1041,温柔的肖战又让海外粉丝为之疯狂谁也拒绝不了的温柔@X玖少年团肖战DAYTOY
1042,裙子就算了还穿丝袜，皮鞋就算了还带根儿
1043,#周幼琳幼态灵感妆容##my girl周幼琳#Never Say good bye~ 爷青回！小时候真是爱疯了这部剧 每天都想成为女主今天一番就出这个周幼琳幼态灵感仿妆浓浓的大平眉、不灵不灵的卧蚕、嘟嘟嘴都是幼态天花板赶快点开视频跟一番get同款妆容吧#潮流趋势大赏#一番fane的微博视频
1044,我两确认关系要从那年冬天说起那天在送我回家的路上他问：你冷不冷我：不冷他：你冷不冷我：不冷他：你冷不冷啊我：冷……然后进度条就咻的到了90%哈哈哈哈哈
1045,一首由小哥在睡梦中偶得的灵感，还有TikTok网友们隔空合奏共同完成的《松饼之歌》。动听的节奏、可爱的歌词，这种跨越千里的奇妙缘分，真的让人听了感到心中无限温暖(TT: Sean_Bertram)YouTube精选的微博视频
1046,希望每一个女孩子，一定要优秀。受家庭的影响，我从小脑子里就有这么个意识。我每天挤早高峰，工作很忙，经常忘记吃饭，出来工作也不会一路顺风，会因为马虎让整个小组受累，会经常受到领导的批斗或者同事的冷眼，也经常会熬夜加班，但是我很喜欢现在充实的生活，我现在的努力都是为了将来的自己。我 ...全文
1047,#电视剧女心理师#我以为我已经很爱妈妈了，但妈妈永远比想象中更爱我贺顿和妈妈@倪萍的心结终于解开啦！#明星剧好玩#
1048,？？？
1049,VLOG 018  你是最特别的（我们恋爱吧回顾）这期录的，自己又有了新的认知。感谢我可爱女朋友的包容哈哈哈。不多说了，都在视频里。这期有认真在解答。答应我，一定一定一定要看到最后，你会期待的，你会开心的！特别的你。陈七昂的微博视频
